Henri Salvador	toi
Jean Claude Corbel	Peau D'âne 4
Chorus	Parodos
Michel Roux	L'aiguille creuse - Partie 1
Chantal Goya	Ennio
Chorus	Antara Mama
Oliver Wallace	Alice in Wonderland: Theme
Laura Mayne	Comme si
Jean Claude Corbel	Vers un nouveau monde
Le Club des Juniors	Lutinette et Lutinou
Jean Davy	C'est ça l'amour
Chorus	Om Kodilingeshwaraya Namaha
Richard M. Sherman	Lost Chords Sentiments
Marie-Thérèse Orain	Les hommes
Claire Guyot	Lila danse
Chorus	Bangaru Padagaye
Jean Amadou	Une Petition
Henri Salvador	Ela Diz que Tiem
Richard M. Sherman	Caprice
Karine Costa	Mes Nuits Blanches
Henri Salvador	Surs De Nous - Remastered
Jean Claude Corbel	Un coin de paradis
Chorus	Oj Ty Babo
Houcine	Siffler sur la colline
Chorus	Azadi Ke Parbat Ki
Henri Salvador	Ela Diz Que Tem
Lucie Dolene	Croquemitoufle (From "Les femmes des autres")
Chorus	Noothi Yettu Potri - Language: Tamil; Genre: Amman
Chorus	Bhur Bhuru Ujao
Jean Piat	Il faut savoir que les Orsini
Henri Salvador	C’est le be-bop
Jean Claude Corbel	Un voyage avec Gulliver
Chorus	Udaya Gaganadalli
Richard M. Sherman	チム・チム・チェリー (竹内永和 編)
Randy Newman	Little Polenta Is Born
Henri Salvador	Comme J Aimais
Debbie Davis	Hanging Up My Stockings
Ken Page	J'ai Deux Amour
Claire Guyot	Fuir
Chorus	Jaag Uthi Hai Saari
Chorus	Saare Jahan -Unique - Original
Francois Le Roux	Maman biguine
Idoles De La Musique	La Vie En Rose
Chorus	Om Jwaladeviya Namah
Frank Churchill	Let's See What's Upstairs - From "Snow White and the Seven Dwarfs"/Score
Chorus	Chal Chal Chal
Chorus	Agana No Parasmani
Henri Salvador	Madame Tristesse - Remastered
Le Club des Juniors	Oliver
Henri Salvador	Adieu adios
Chorus	Saturnallian Dance Exodos
Debbie Davis	Don't Be Sure
Henri Salvador	Je connais une blonde
Joy Esther	Today
Chorus	Aarti Kunj Bihari Ki
Jean Claude Corbel	Le voyage à Brobdingnag
Debbie Davis	Goin' to a Gaggle
Henri Salvador	Le Portrait De Tante Caroline
Dorothée	Dans les prisons de Nantes
Chorus	Trigunatmak Tremurti
Leopold Stokowski	Albéniz: Fête Dieu à Séville - Leopold Stokowksi Transcriptions
Jean Claude Corbel	Le régiment des pachydermes
Karine Costa	Take Me Away
Bernard Minet	Sharivan
Henri Salvador	Le Roi Dagobert - Remastered
Chorus	Haath Ke Sinhorva Le Le
Jean Claude Corbel	Oedipe
China Moses	Dinah's Blues
Fabien Nataf	Wake Up
Claire Guyot	La façade
Leopold Stokowski	L'Histoire du Soldat: Music to Scene Two (Pastorale)
Bernard Minet	Marc et Marie
Henri Salvador	Zip a Dou Da - Remastered
Chorus	Sayam Gayatri Mantra
Joseph Williams	Maybe I'm Amazed
Chorus	Vandana Ko Deva Aalu
Henri Salvador	Boua-nina - Remastered
Chorus	Veera La Shagana Di Mehndi
Bernard Minet	Jaspion
Henri Salvador	Un P Tit Air Dans La Caboche
Chorus	Sri Sankashta Chathurthi Vratha
Chorus	Pos Na Se Gnoriso
Bernard Minet	Le roi Arthur
Chorus	Sivasthuthi(Rudram Chamakam Namakam)
Idoles De La Musique	Les lacs du Connemara
Chorus	Tyagarajunalla
Henri Salvador	C Est La Premiere Fois
Frank Churchill	Pleasant Dreams - From "Snow White and the Seven Dwarfs"/Score
Chorus	Pranaam Mantra
Chorus	Sri Giri Shikharadali
Chorus	Shambho Shankara
Anika Noni Rose	Down in New Orleans (Prologue)
Henri Salvador	Tu Es Entrée Dans Mon Âme - Remastered
Martin & les fées	Un endroit où nul ne va jamais (par Gérard Lenorman)
Bernard Minet	Je n'ai pas su te prendre te comprendre
Michel Roux	Les aventures d'Arsène Lupin: Le bouchon de cristal - Partie 1
Chorus	Siuch
Henri Salvador	Dialogue De Glace - Remastered
Chorus	Harmony
Chorus	Prayer - Language: Tamil; Genre: Christian Devotional
Chorus	Pedda Gedda
Claire Guyot	Le cadran des heures
Chorus	Veda Thandavam
Leopold Stokowski	Tchaikovsky: Aurora's Wedding Ballet Music: Introduction (Prologue)
Dorothée	Gentil coquelicot
Chorus	Ahaban Asilo Mahotsabe
Jean Claude Corbel	Les mammifères
Bernard Minet	Ne pleure pas petite fille
Generation B.O.	L'Histoire De La Vie (B.O. "Le Roi Lion")
Debbie Davis	Where Have You Been
Chorus	Suriya Deva
Larry Groce	Live Forever (feat. Ray Wylie Hubbard)
Chorus	Gimme Dat
Henri Salvador	Ma Femme
Chorus	Tis Salaminos kimata (Waves of Salamis)
Henri Salvador	0 0 7 - Remastered
Daniel Lavoie	Baby Boom
Henri Salvador	Purée De Pommes De Terre - Remastered
Henri Salvador	Di…di…di…
Chorus	Aayen Panchi Aahaa
Chorus	Mokshakavadam
Henri Salvador	L'amour
Randy Newman	Marty And Henry
Céline Languedoc	Ki moun ki di
Henri Salvador	Ma chansonnette
Chorus	Lokamaa Neekidi
Chorus	Joli mois de mai
Chorus	Goin' Up
Chorus	Gumowe Palto
Chantal Goya	Fantasmagomique
Bernard Minet	Shurato
Joseph Williams	Don't Know Why
Dorothée	La chèvre
Les Hérissons	La vérité si je mange (de la bouffe en gros)
Henri Salvador	Si Jolie
Dominique Tirmont	À la claire fontaine
Ken Page	Memory
Henri Salvador	Monsieur le bon dieu
Henri Salvador	Quand On S'aime À Paris
Henri Salvador	Twist De L'enrhumé - Remastered
Henri Salvador	Elle Me Donne
Martin & les fées	Tu es ma plus belle histoire (par Michèle Laroque)
Randy Newman	Could You Milk Me? - Meet The Parents/Soundtrack
Lucie Dolene	La poupée magique
Céline Languedoc	Dé ti mo dou
