genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Alternative,Anthem Lights,Class of 2017 Mash-Up: My Wish / I Hope You Dance / The Climb / I Lived,4MODTnPdps3hsz2sS7UAqC,47,0.766,0.305,213303,0.358,0,E,0.0992,-7.395,Major,0.0378,72.331,4/4,0.259
Indie,Fitz and The Tantrums,Out of My League,2Z5wXgysowvzl0nKGNGU0t,56,0.0387,0.545,209386,0.968,0.00325,A,0.331,-3.553,Minor,0.0853,169.965,4/4,0.527
Rock,Noah Kahan,Young Blood,20OrSCxQNhfAtiWtbLn3hf,67,0.379,0.569,208853,0.464,0,B,0.152,-8.27,Major,0.0539,84.565,4/4,0.321
Indie,Bear's Den,Berlin,6PiR6zBrj0JUMnIT88OtZv,51,0.876,0.499,269233,0.406,0.00767,C#,0.0994,-13.85,Major,0.0336,90.91,4/4,0.334
Movie,Bernard Minet,Le jour où,0DDCTw8nfOE4r4rW1rG1jE,0,0.701,0.562,226664,0.333,0,D,0.0796,-12.781,Major,0.0254,77.983,4/4,0.322
Dance,Transviolet,Kaleidoscopes,38vmNG5xH5bNSc3fxQn060,49,0.159,0.557,190858,0.656,0,C#,0.175,-7.657,Major,0.0406,141.046,4/4,0.332
Folk,Rainbow Kitten Surprise,It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl,65,0.632,0.744,152293,0.516,0,D,0.605,-6.365,Major,0.0513,97.944,4/4,0.281
Comedy,Nick Di Paolo,Dead Pope,7FdkwvbKDVbtI0ZcfxCGIR,10,0.719,0.584,139880,0.828,0,A#,0.747,-9.417,Minor,0.909,89.696,3/4,0.367
Movie,Chorus,Hari Om(Shlokam),2vAvROoYeOW72b8vPQwU37,0,0.891,0.298,108957,0.28,0.00136,D,0.188,-11.439,Major,0.0314,81.566,4/4,0.419
Opera,Umberto Giordano,La Mamma Morta,2kyBSJOSXlXLM0UP4ti3Ln,16,0.986,0.197,329493,0.0773,0.000283,D,0.113,-14.926,Major,0.0539,74.401,3/4,0.0402
Opera,Jean-Baptiste Lully,Amadis: Bois épais (Live),36CFkuab3o6BWNmR61VnhX,0,0.992,0.196,230027,0.266,0.755,D#,0.352,-23.528,Major,0.101,79.284,3/4,0.0857
Children’s Music,Rob Zombie,Living Dead Girl,10V8XpuyMoEcSMfM79WDET,62,0.00504,0.518,201400,0.948,0.104,F#,0.228,-5.58,Minor,0.0683,103.025,4/4,0.55
R&B,Kelly Price,It's Gonna Rain,0Q6mb7Fu5AYjrDJRscDDt9,47,0.46,0.544,241387,0.486,0,F#,0.0604,-7.511,Minor,0.0569,132.221,4/4,0.528
Blues,Dan Auerbach,Shine on Me,3SFWCLORNGjFCwBfv3ysgy,48,0.0471,0.429,197680,0.893,0,D,0.141,-4.661,Major,0.034,152.816,4/4,0.952
Classical,Ivan Moody,A Lion´s Sleep,1gQfxFg6F56dG2grROzXxL,33,0.981,0.183,576773,0.0203,2.15e-05,G,0.0548,-26.747,Major,0.0492,97.25,3/4,0.0355
Anime,Ayumi Hamasaki,a song is born,0aPu7k253WegMel2qrsIIP,39,0.0802,0.541,360667,0.665,1.07e-06,G,0.113,-6.993,Major,0.0293,164.089,4/4,0.278
Comedy,Adam Sandler,Pickin' Daisies,6tGrM37UMQ7qzyBb1VSoC8,11,0.0891,0.621,365107,0.461,0,A,0.0897,-7.539,Major,0.0286,142.678,4/4,0.431
Children’s Music,Erykah Badu,Didn't Cha Know,7pv80uUHfocFqfTytu1MVi,61,0.48,0.753,238733,0.472,0.0133,D#,0.284,-9.761,Minor,0.121,135.276,4/4,0.816
Anime,Last Note.,Houkago Stride,5lu6l6DdKgnPXmFxq2wa51,16,0.0485,0.669,225500,0.986,0.00269,A,0.45,-2.19,Major,0.162,112.53,4/4,0.497
Electronic,Alain Goraguer,Ten Et Tiwa,33o4VGGUTGCcj9RBRGwxke,27,0.344,0.579,106853,0.252,0.692,F#,0.108,-13.296,Minor,0.0453,96.755,4/4,0.19
Ska,MxPx,Swing Set Girl,6Kb5OWQNZ6RcV71mSZNmgT,19,5.29e-05,0.417,135600,0.941,0.000108,C,0.152,-6.138,Major,0.0588,132.338,4/4,0.61
Movie,Hélène Ségara,Ma musique (Sailin'),3rSkm2bBgGSwDzoYuxSvuP,20,0.145,0.467,203707,0.457,0.00171,C,0.159,-7.507,Major,0.0256,139.965,4/4,0.281
Alternative,Radiohead,Morning Bell,1HQYo8C5L0qd1p5f1anXPS,46,0.719,0.645,275800,0.462,0.291,D,0.34,-12.124,Major,0.0319,142.137,5/4,0.391
Children’s Music,Nickelback,Someday,4PkJ7c9y1CwpuVOiJODnCZ,66,0.000616,0.455,207467,0.858,0.000247,B,0.226,-5.659,Minor,0.0391,163.118,4/4,0.597
Jazz,digitalluc,Ghettos Worldwide,1RmlB5FlFYWQkP8BrveswR,54,0.153,0.607,173128,0.672,0.0533,D,0.289,-7.732,Minor,0.102,87.999,4/4,0.248
Electronic,Black Tiger Sex Machine,Mountains,7yVpmuU9YrqiLswvvv7157,28,0.000748,0.623,221423,0.981,0.0121,D,0.112,-2.25,Major,0.0885,129.976,4/4,0.35
Movie,Susan Egan,I'll Be Home for Christmas,2EhVW8fxcFkBwLO1BouYXR,1,0.841,0.459,180115,0.263,0.000146,G,0.335,-10.58,Major,0.0352,118.533,4/4,0.324
Hip-Hop,GNAR,I Don't Sell Dope,0yz1KicNJcrLbDoWmwEmjl,51,0.132,0.836,100000,0.715,1.13e-05,C,0.0827,-5.733,Major,0.336,125.969,4/4,0.661
Anime,Nobuo Uematsu,"Balamb Garden ~ Ami (From ""Final Fantasy VIII"")",7DK4lDt7lJpgAe6FwpEJ2H,33,0.965,0.167,331147,0.115,0.75,A,0.108,-18.283,Minor,0.0385,85.792,4/4,0.0398
Children's Music,Kimbo Children's Music,Goodbye Song,4vCCu6u6HlwpGEiUL5Kxh8,1,0.83,0.477,93147,0.145,0,F#,0.102,-18.203,Major,0.0985,179.948,3/4,0.368
Pop,Future,Married To The Game,4Kup1kDTLoJaUMgpGFPqau,58,0.0799,0.827,130038,0.544,1.97e-06,C#,0.156,-5.686,Major,0.05,143.014,4/4,0.175
R&B,Rita Ora,Poison,73ucpKq91TuejrLHgzDNHK,62,0.0821,0.579,202907,0.738,1.52e-06,A#,0.232,-5.711,Major,0.0542,124.023,4/4,0.431
Blues,Greta Van Fleet,Black Smoke Rising - Recorded At Spotify Studios NYC,5QEk6P5XCg98fWAKnVKcS2,52,0.12,0.697,297787,0.492,0.397,G,0.116,-9.028,Major,0.025,96.003,4/4,0.687
Blues,Badfinger,Day After Day - Remastered 2010,2XKW8CH8nRZH9cF2DNjBHN,50,0.109,0.397,191053,0.687,0.000739,F,0.112,-7.11,Major,0.0311,101.822,4/4,0.385
Indie,Ivy Adara,Callgirl,7ALLv4wodJgAT8cnuBSzhL,58,0.0206,0.755,164155,0.652,1.41e-05,G,0.101,-6.406,Major,0.0788,158.119,4/4,0.486
Children’s Music,Black Label Society,Suicide Messiah,0NsGX5siz55Fipy0ALJi4W,52,0.000199,0.283,347387,0.839,3.17e-05,C,0.0698,-5.726,Minor,0.0836,75.594,4/4,0.181
Rock,Warrant,Cherry Pie,7LygtNjQ65PSdzVjUnHXQb,67,0.0372,0.472,201027,0.946,0,D,0.352,-4.591,Major,0.145,177.489,4/4,0.486
Alternative,Casting Crowns,One Step Away,3MhhAfSerH5btK9e0xO7ap,43,0.0676,0.632,217000,0.702,0,B,0.227,-5.301,Major,0.0289,88.036,4/4,0.902
Soundtrack,Howard Shore,The Nazgûl,1iYCMjIx93xfKSL4gzZBfX,35,0.93,0.0994,364893,0.00954,0.816,D,0.0929,-24.894,Minor,0.0396,89.835,4/4,0.0363
Electronic,Justice,Stress (WWW),6A1f57LykyUCDhbdj4tBcz,43,0.0012,0.431,348098,0.48,0.00398,A#,0.394,-6.182,Major,0.0358,126.984,4/4,0.0399
Comedy,Josh Blue,Presidents,4uK636BppQe7YSDLh969Ca,13,0.688,0.439,77960,0.95,0,C#,0.811,-4.341,Major,0.891,94.502,1/4,0.359
Soundtrack,The City of Prague Philharmonic Orchestra,"Arrival of the Birds / Exodus (From ""The Crimson Wing: Mystery of the Flamingos"")",6u9CGtHMcZfpSjeccbPvgA,33,0.918,0.261,443787,0.163,0.918,B,0.0845,-16.104,Major,0.0348,131.874,3/4,0.0389
Children’s Music,Ten Tonnes,Better Than Me,4rGRIvD3Gdp6jhTWy9vo0x,59,0.0184,0.711,200868,0.695,0,F#,0.21,-4.717,Minor,0.0308,119.966,4/4,0.942
Indie,Alabama Shakes,Sound & Color,3wrqiZJKMSpLBvgFJfFOp1,57,0.852,0.548,183293,0.412,0.611,D,0.0854,-7.398,Major,0.0736,114.928,4/4,0.151
Indie,King Krule,Czech One,6pwh8jxrpOoXAXhjAhIvFE,46,0.935,0.402,255137,0.211,0.0056,B,0.129,-14.339,Minor,0.0524,78.894,4/4,0.166
Children’s Music,Bearings,Eyes Closed,5rS5ZUYY7rr3cZiP1Hwzaw,44,0.000371,0.476,201625,0.933,0,A,0.253,-3.872,Major,0.0662,162.083,3/4,0.623
Rap,OMB Peezy,When I Was Down,2wlZcfF1jnIdz7oQd7xeub,52,0.104,0.51,162632,0.595,0,D,0.114,-7.075,Major,0.301,93.745,4/4,0.189
Alternative,Easy Life,Sunday,3QysXZ7h7NIsi8WAusDCBR,55,0.489,0.781,201507,0.587,0.00375,C#,0.1,-8.057,Minor,0.187,86.963,4/4,0.843
Reggae,Sublime With Rome,Wicked Heart,6dqLKzSb6PBqMHAs8PhySK,53,0.00547,0.636,198320,0.907,0.000426,D,0.214,-2.457,Major,0.0379,88.009,4/4,0.813
Children’s Music,Matthew West,Forgiveness,0CKKKckCxCLgGMBN9r3SCR,46,0.00737,0.407,267347,0.669,1.12e-05,C,0.135,-5.166,Major,0.0337,178.21,4/4,0.197
Reggae,Freddie McGregor,I See It In You,6u9q7kZAtPyTu2tO3mHXci,37,0.148,0.759,229067,0.542,0,C#,0.11,-6.952,Major,0.0894,80.888,4/4,0.895
Blues,Alice Cooper,I'm Eighteen,3YU9X8ryOR20beT7wOlDIJ,53,0.249,0.618,180760,0.413,0.0517,E,0.131,-14.164,Minor,0.0302,97.84,4/4,0.531
