Joe Rogan	Comedy	44	0.935	0.643
Johann Pachelbel	Classical	38	0.177	0.168
John Caparulo	Comedy	12	0.502	0.616
John Hammond	Blues	29	0.673	0.746
John Philip Sousa	Classical	0	0.00423	0.26
John Powell	Soundtrack	28	0.228	0.455
John Powell	Soundtrack	31	0.286	0.177
Johnnie Taylor	Soul	38	0.462	0.612
Johnny Pacheco	Jazz	46	0.713	0.6
Jon Bryant	Folk	44	0.185	0.479
Jon Hopkins	World	52	0.715	0.798
Jon Pardi	Rock	76	0.757	0.628
Jonny Greenwood	Soundtrack	25	0.163	0.512
Jorge Villamizar	Reggaeton	31	0.757	0.743
Jory Boy	Reggaeton	26	0.952	0.729
Josh A	Rap	55	0.559	0.635
Josh Abbott Band	Country	36	0.653	0.543
Josh Blue	Comedy	13	0.95	0.439
Josh Garrels	Folk	55	0.533	0.557
Joss Favela	Pop	64	0.468	0.741
Joss Stone	Soul	58	0.767	0.69
João Gilberto	Jazz	48	0.377	0.537
Juice Music	Children's Music	20	0.275	0.88
Juice WRLD	Rap	72	0.682	0.707
Juice WRLD	Rap	73	0.672	0.631
Jules Massenet	Classical	31	0.029	0.0952
Jules Massenet	Opera	10	0.037	0.223
Julie Andrews	Movie	28	0.175	0.612
Junip	Indie	44	0.481	0.674
Justice	Electronic	43	0.48	0.431
Justin Moore	Country	63	0.752	0.584
Justin Stone	Hip-Hop	55	0.456	0.745
Justin Timberlake	Pop	75	0.832	0.669
Jóhann Jóhannsson	Soundtrack	32	0.153	0.507
Jóhann Jóhannsson	Soundtrack	32	0.497	0.576
Jóhann Jóhannsson	Soundtrack	33	0.119	0.297
KONGOS	Blues	31	0.804	0.609
Kabaka Pyramid	Reggae	32	0.721	0.642
Kadhja Bonet	Jazz	34	0.576	0.557
Kadhja Bonet	Jazz	34	0.611	0.464
Kai Straw	Soul	35	0.312	0.824
Kai Wachi	Electronic	25	0.781	0.682
Kari Jobe	Children’s Music	60	0.319	0.451
Kari Jobe	World	31	0.565	0.442
Katherine Jenkins	Opera	23	0.512	0.352
Kathleen Madigan	Comedy	26	0.847	0.471
Keaton Henson	Folk	48	0.104	0.316
Kellie Pickler	Country	53	0.862	0.649
Kelly Clarkson	R&B	50	0.679	0.701
Kelly Clarkson	Rock	67	0.939	0.562
Kelly Price	R&B	47	0.486	0.544
Kendrick Lamar	Hip-Hop	58	0.558	0.665
Kendrick Lamar	Hip-Hop	74	0.478	0.855
