artist	genre	popularity	c4	c5
Mora	Reggaeton	55	0.452	0.762
Morcheeba	Jazz	44	0.686	0.71
Morrissey	Dance	53	0.676	0.463
Myles Cameron	Alternative	42	0.393	0.442
MØ	Pop	73	0.672	0.695
NEEDTOBREATHE	Alternative	50	0.843	0.387
NOFX	Ska	40	0.956	0.586
Nao	Alternative	50	0.617	0.741
Nao	Soul	58	0.412	0.494
Natti Natasha	Reggaeton	52	0.771	0.51
Ne-Yo	R&B	59	0.753	0.711
Nelly	Hip-Hop	52	0.584	0.844
Nick Drake	Folk	44	0.0565	0.696
Nick Drake	Rock	58	0.382	0.605
Nick Hakim	Alternative	43	0.756	0.555
Nick Jonas	Rap	61	0.656	0.432
Nickelback	Children’s Music	66	0.858	0.455
Nightmares On Wax	Electronic	54	0.339	0.503
Nina Simone	Blues	43	0.511	0.386
Nine Inch Nails	Children’s Music	51	0.934	0.521
No Use For A Name	Ska	46	0.986	0.289
Noah Kahan	Rock	67	0.464	0.569
Novo Amor	Folk	52	0.263	0.398
OK Go	Children’s Music	61	0.767	0.389
OMB Peezy	Rap	52	0.595	0.51
Of Monsters and Men	Children’s Music	46	0.659	0.375
Of Monsters and Men	Indie	54	0.446	0.381
Oh No	Children’s Music	51	0.433	0.686
Oh Wonder	Rock	62	0.426	0.521
Olivia Holt	Dance	50	0.883	0.639
Olivia Lane	Country	54	0.739	0.519
Ollie MN	Rap	64	0.0828	0.646
One Direction	Dance	73	0.329	0.574
Orden Ogan	Classical	50	0.941	0.484
Ozzy Osbourne	Rock	64	0.961	0.303
Pablo Chill-E	Reggaeton	47	0.816	0.604
Paolo Fresu	Jazz	41	0.0275	0.336
Papa Roach	Rap	70	0.775	0.666
Parov Stelar	Jazz	44	0.765	0.757
Patsy Cline	Country	43	0.23	0.672
Pearl Jam	Children’s Music	58	0.961	0.373
Pendulum	Electronic	46	0.846	0.264
Penny and Sparrow	Folk	41	0.191	0.351
Phil Collins	Rock	73	0.565	0.78
Pistol Annies	Country	49	0.858	0.581
Pitbull	Dance	50	0.85	0.623
Pitbull	Pop	76	0.963	0.581
Playboi Carti	Hip-Hop	67	0.59	0.894
Plini	Jazz	43	0.861	0.425
Powerman 5000	Rap	63	0.892	0.574
Prem Joshua	World	42	0.419	0.77
Prezioso Feat. Marvin	Dance	58	0.808	0.835
Quality Control	Pop	65	0.406	0.884
Queens of the Stone Age	Alternative	45	0.812	0.548
Quinn XCII	Rap	67	0.551	0.715
RKCB	Children’s Music	53	0.589	0.505
Radiohead	Alternative	46	0.462	0.645
Radiohead	Indie	59	0.977	0.343
Rae Sremmurd	Rap	78	0.632	0.794
Rage Against The Machine	Alternative	45	0.954	0.557
Rage Against The Machine	Children’s Music	67	0.978	0.47
Rainbow Kitten Surprise	Folk	59	0.294	0.564
Rainbow Kitten Surprise	Folk	65	0.516	0.744
Rainbow Kitten Surprise	Rock	59	0.48	0.727
Ralph	Soul	51	0.578	0.781
Rammstein	Alternative	70	0.93	0.608
Randy Houser	Pop	70	0.801	0.526
Ravyn Lenae	Soul	60	0.537	0.665
Red Hot Chili Peppers	Alternative	48	0.732	0.611
Red Hot Chili Peppers	Rock	59	0.653	0.387
Regulo Caro	Pop	66	0.451	0.725
Reo Cragun	Soul	51	0.429	0.785
Reykon	Reggaeton	49	0.881	0.779
Rich The Kid	Hip-Hop	50	0.45	0.749
Rick James	Hip-Hop	62	0.823	0.529
Rita Ora	R&B	62	0.738	0.579
Rob Zombie	Children’s Music	62	0.948	0.518
Rudimental	Dance	70	0.858	0.619
Run The Jewels	Children’s Music	49	0.606	0.685
Russ	Rap	71	0.71	0.715
Ryan Adams	Country	59	0.437	0.57
S Club 7	Dance	65	0.903	0.679
Sade	Soul	46	0.39	0.851
Sade	Soul	49	0.401	0.715
SahBabii	Hip-Hop	59	0.541	0.729
Salmonella Dub	Reggae	43	0.452	0.847
Sampha	R&B	49	0.533	0.752
Santigold	Alternative	44	0.858	0.69
Sara Bareilles	Folk	50	0.718	0.647
ScHoolboy Q	Hip-Hop	49	0.765	0.398
Scorpions	Rock	60	0.631	0.505
Seven Lions	Electronic	48	0.762	0.508
Shania Twain	Country	50	0.699	0.622
Sharon Van Etten	Indie	53	0.569	0.418
Shawn Mendes	Dance	52	0.665	0.737
Shoreline Mafia	Rap	54	0.417	0.781
SiR	R&B	53	0.621	0.598
