Florence + The Machine        	     2	   50.50	   45.00	   56.00
Florida Georgia Line          	     1	   73.00	   73.00	   73.00
Foreign Air                   	     1	   70.00	   70.00	   70.00
Francis and the Lights        	     1	   50.00	   50.00	   50.00
Francis Lai                   	     1	   44.00	   44.00	   44.00
Franc Moody                   	     1	   64.00	   64.00	   64.00
Frank Ocean                   	     2	   74.00	   73.00	   75.00
Giacomo Puccini               	     1	   46.00	   46.00	   46.00
Gillian Welch                 	     1	   55.00	   55.00	   55.00
Greta Van Fleet               	     1	   52.00	   52.00	   52.00
Greyson Chance                	     1	   64.00	   64.00	   64.00
Harry Nilsson                 	     1	   59.00	   59.00	   59.00
High School Musical Cast      	     1	   58.00	   58.00	   58.00
Hillsong UNITED               	     1	   51.00	   51.00	   51.00
Hillsong Worship              	     1	   40.00	   40.00	   40.00
HoodRich Pablo Juan           	     1	   47.00	   47.00	   47.00
Howard Shore                  	     1	   40.00	   40.00	   40.00
Huey Lewis & The News         	     1	   49.00	   49.00	   49.00
Ivy Adara                     	     1	   58.00	   58.00	   58.00
Jade Bird                     	     1	   48.00	   48.00	   48.00
Jai Paul                      	     1	   55.00	   55.00	   55.00
Jake Bugg                     	     1	   61.00	   61.00	   61.00
Jake Owen                     	     1	   52.00	   52.00	   52.00
Jamby el Favo                 	     1	   54.00	   54.00	   54.00
Janelle Monáe                 	     1	   57.00	   57.00	   57.00
Jason Aldean                  	     1	   42.00	   42.00	   42.00
Jason Isbell and the 400 Unit 	     1	   50.00	   50.00	   50.00
Jason Upton                   	     1	   45.00	   45.00	   45.00
Jay Rock                      	     1	   65.00	   65.00	   65.00
J. Cole                       	     1	   65.00	   65.00	   65.00
Jennifer Lopez                	     1	   65.00	   65.00	   65.00
Jerrod Niemann                	     1	   62.00	   62.00	   62.00
Jesus Culture                 	     1	   50.00	   50.00	   50.00
Jill Scott                    	     1	   49.00	   49.00	   49.00
João Gilberto                 	     1	   48.00	   48.00	   48.00
Joe Rogan                     	     1	   44.00	   44.00	   44.00
Johnny Pacheco                	     1	   46.00	   46.00	   46.00
Jon Bryant                    	     1	   44.00	   44.00	   44.00
Jon Hopkins                   	     1	   52.00	   52.00	   52.00
Jon Pardi                     	     1	   76.00	   76.00	   76.00
Josh A                        	     1	   55.00	   55.00	   55.00
Josh Garrels                  	     1	   55.00	   55.00	   55.00
Joss Favela                   	     1	   64.00	   64.00	   64.00
Joss Stone                    	     1	   58.00	   58.00	   58.00
Juice WRLD                    	     2	   72.50	   72.00	   73.00
Justin Moore                  	     1	   63.00	   63.00	   63.00
Justin Stone                  	     1	   55.00	   55.00	   55.00
Justin Timberlake             	     1	   75.00	   75.00	   75.00
Kari Jobe                     	     1	   60.00	   60.00	   60.00
Keaton Henson                 	     1	   48.00	   48.00	   48.00
Kellie Pickler                	     1	   53.00	   53.00	   53.00
Kelly Clarkson                	     2	   58.50	   50.00	   67.00
Kelly Price                   	     1	   47.00	   47.00	   47.00
Kendrick Lamar                	     3	   65.33	   58.00	   74.00
Kevin Garrett                 	     1	   53.00	   53.00	   53.00
Kevin Gates                   	     2	   50.50	   48.00	   53.00
Kevin Ortiz                   	     1	   67.00	   67.00	   67.00
Kid Ink                       	     1	   65.00	   65.00	   65.00
Killswitch Engage             	     1	   48.00	   48.00	   48.00
King Krule                    	     1	   46.00	   46.00	   46.00
Kings of Convenience          	     1	   47.00	   47.00	   47.00
Kodak Black                   	     1	   72.00	   72.00	   72.00
Lalo Rodriguez                	     1	   57.00	   57.00	   57.00
LCD Soundsystem               	     2	   46.00	   45.00	   47.00
Leroy Hutson                  	     1	   47.00	   47.00	   47.00
LeToya Luckett                	     1	   55.00	   55.00	   55.00
Lewis Del Mar                 	     1	   54.00	   54.00	   54.00
Lil Baby                      	     1	   68.00	   68.00	   68.00
Lil Wayne                     	     3	   69.67	   64.00	   75.00
Linkin Park                   	     2	   54.00	   51.00	   57.00
Little Mix                    	     1	   62.00	   62.00	   62.00
Los Auténticos Decadentes     	     1	   51.00	   51.00	   51.00
